Regen_Plot,Exclude,NOTES
MOO1201777,,BAF 20
MOO1201793,,BAF 20
MOO1201795,,BAF 20.  Grazing.  Near a road.
MOO1201800,,BAF 20
MOO1201816,,BAF 20
MOO1201818,,BAF 20
MOO1201823,m,BAF 5.  Salvage logging.
MOO1201839,,BAF 20
MOO1201841,,BAF 20
MOO1201845,m,BAF 5.  Salvage logging
MOO1201854,,BAF 10
MOO1201862,,BAF 20
MOO1201863,,BAF 20
MOO1201864,,BAF 10.
MOO1201865,m,BAF 5       SALVAGE LOGGING.
MOO1201880,,BAF 20
MOO1201881,,BAF 20
MOO1201934,,BAF 10      Nearest regen out of range to measure.
MOO1201935,,BAF 5
MOO1201936,,BAF 10
MOO1201937,,BAF 20
MOO1201938,,BAF 5
MOO1201939,m,BAF 20.  OLD FIRE ROAD RUNS THROUGH PLOT.
MOO1201940,,BAF 10.
MOO1201941,,BAF 20
MOO1201942,,BAF 20   Nearest regen is out of  range.
MOO1201953,,BAF 5
MOO1201954,,BAF 10
MOO1201955,,BAF 20
MOO1201956,,BAF 10
MOO1201957,,BAF 20     Neareste regen out of range.
MOO1201958,,BAF 20
MOO1201959,,BAF 20
MOO1201960,,BAF 20
MOO1202071,,BAF 20
MOO1202072,,BAF 10
MOO1202091,,BAF 20
MOO1202092,,BAF 10     Mule's ears dominate the area.
MOO1202104,,BAF 20
MOO1202106,,BAF 20
MOO1202107,,BAF 20
MOO1202108,,BAF 20
MOO1202115,,BAF 20
MOO1202124,,BAF 10
MOO1202125,,BAF 10
MOO1202126,,BAF 20
MOO1202127,,BAF 20
MOO1202133,,BAF 20
MOO1202200,,BAF 20
MOO1202201,,BAF 20
MOO1202213,,BAF 10.  Mule's ear is the main forb for this stand.
PNP1000002,,"inv: Thistle, LACE"
PNP1000005,,moved plot 13m @ 96 degrees
PNP1000006,,INVASIVES: SYSC
PNP1000007,,moved plot approx 5 m south sues to sheer drop off.
PNP1000008,,
PNP1000009,,
PNP1000010,,
PNP1000011,,
PNP1000012,nf,in drainage. Tons of rocks.
PNP1000014,,
PNP1000015,,
PNP1000016,,
PNP1000023,,Moved plot approx. 15 meters SW due to extensive amounts of TODI.
PNP1000024,,
PNP1000027,,
PNP1000028,m,PIPOs may be planted. Signs of tree cutting.
PNP1000031,,
PNP1000032,,LIDE seed source also Regen. No other HW seed source visible.
PNP1000033,,Moved plot 10 meters.
PNP1000034,,
PNP1000035,,
PNP1000036,,
PNP1000037,,
PNP1000038,,
PNP1000041,,grassy patch in otherwise bushy landscape.
PNP1000042,nf,Plot located in drainage.
PNP1110002,,Control plot
PNP1110011,nf,"Edged by creek on S side, high severity on N side"
PNP1110013,,Control plot
PNP1110019,,
PNP1110022,,
PNP1110033,,
PNP1110038,,
PNP1110069,,
PNP1110098,,
PNP1110107,,
PNP1110109,,Lots of downed hardwoods
PNP1110111,,Moved Plot 30m NE to avoid road
PNP1110113,,Lots of downed trees
PNP1110123,,
PNP1110127,,Moved plot 30m E away from road
PNP1110128,,Moved plot 40 SE to avoid road
PNP1110130,,
PNP1110144,,
PNP1110145,,
PNP1110146,,
PNP1110147,m,Salvage Logging in plot
PNP1110149,,
PNP1110150,,
PNP1110151,,Moved plot 10m N to avoid slash covered area
PNP1110165,,
PNP1110171,,
PNP1110189,,
PNP1110210,,
PNP1110233,,
PNP1110278,,Control Plot
PNP1110348,,Control Plot
PNP1110412,,Control Plot
PNT1000001,,"Plot located on side of road. Large stump removed, possibly ARME."
PNT1000002,,
PNT1000003,,CONU overstory just outside plot.
PNT1000004,,
PNT1000005,,
PNT1000006,,INVASIVES: CYSC
PNT1000007,,
PNT1000008,,
PNT1000009,,
PNT1000010,,INVASIVES: Woolly Mullein
PNT1000011,,
PNT1000012,,
PNT1000013,,Plot covered primarily by 2 large vegetative ACMAs (only one has base within plot).
PNT1000014,,
PNT1000015,,
PNT1000016,,
PNT1000017,,UTMs updated on NOMAD
PNT1000018,,
PNT1000019,,
PNT1000020,,
PNT1000021,,
PNT1000022,,
PNT1000023,nf,Plot located in grassy meadow.
PNT1000024,,Moved plot 24 meters NE to actual plot center due to similar terrain.
PNT1000025,,
PNT1000027,,Located on a small landslide.
PNT1000028,,"Plot located in a draw, South side of dry draw."
PNT1000029,,
PNT1000030,,
PNT1000031,,
PNT1000033,,
PNT1000034,,
PNT1000036,,
PNT1000037,,
PNT1000038,,"Plot on shoulder: half level, half sloped"
PNT1000039,,Moved plot 15 meters @ 280 degrees due to lack of satellite signal.
PNT1000040,,
PNT1000042,,
PNT1000043,,Moved plot approx. 40 meters @ 92 degrees due to massive amounts of TODI and unvariable vegetation. Unable to update GPS from plot.
PNT1000044,,Road running through SW side of plot.
PNT1000048,,Moved plot 10 meters due to TODI.
PNT1000050,,
PNT1000051,,
PNT1000054,,Plot moved approx. 25 meters East due to RUAR and TODI
PNT1000055,,
PNT1000058,,
PNT1000062,,
PNT1000063,,
PNT1000064,,
PNT1000066,,moved plot approx. 10 meters @ 145 degrees due to impasible TODI
PNT1000067,,
PNT1000068,,moved plot approx 10 m @ 340 degrees due to impassible TODI.
PNT1000071,,
PNT1000072,,
PNT1000074,,
PNT1000075,,
PNT1000076,,
PNT1000077,,
PNT1000078,,
PNT1000079,,
PNT1000084,,Brush: Class 5
PNT1000085,,moved plot 15m @ 330 degress due to invariable vegetation
PNT1000086,,
PNT1000087,,
PNT1000088,,PDOP: 2.54
PNT1000089,m,"High amount of slash, CWD. Salvage logged, stump in plot."
PNT1000090,,
PNT1000091,,
PNT1000092,,next to road. No photo.
PNT1000095,,PDOP: 3.74
PNT1000096,,
PNT1000097,,
PNT1000098,m,Plot surrounded by planted PIPO
PNT1000104,,Trees that survived fire present right outside plot.
PNT1000105,,
PNT1000106,,
PNT1000112,,Moved plot approx. 30 meters @ 156 degrees due to dense RUAR and plot being located in ravine. Slope: Foot slope. Top half 70% slope; Bottom half 30% slope.
PNT1000113,,"Large ACMA root base outside plot, sprouts go well into plot."
PNT1000114,,Dense brush. Full of TODI.
PNT1000118,,
PNT1000120,,
PNT1000122,,PDOP: 3.67
PNT1000124,,"3ft of dead RUAR. 4 satellite geometry, no GPS log. Moved plot approx. 10 meters NW. Photo taken from N, from road."
PNT1000125,,Moved plot 40m north dues to extremely dense vegetation.
PNT1000126,,
PNT1000127,,Moved plot approx. 20 meters due to RUAR and invariable landscape
PNT1000128,,Moved plot approx. 16 to 30 meters away due to ravine and location issues with GPS.
PNT1000130,,Moved plot approx. 10 meters North due to dense RUAR and invariable landscape. Photo taken from North.
PNT1000131,,
PNT1000132,,
PNT1000133,m,Plot on the edge of an open grassy pasture. PIPO saplings may be planted.
PNT1000134,m,Moved plot approx. 10 meters due to invariable and dense vegetation (RUAR). PIPOs and PSMES maybe planted? INVASIVES: scotch broom
PNT1000135,,
PNT1000139,,Plot surrounded by surviving trees.
PNT1100023,,
PNT1100037,,
PNT1100040,,
PNT1100061,,
PNT1100062,,
PNT1100063,,
PNT1100067,,Moved plot 15m E to avoid private property.  *No rebar at plot center
PNT1100068,,
PNT1100069,,
PNT1100070,,
PNT1100076,,Control Plot
PNT1100077,,
PNT1100088,,Control Plot
PNT1100089,,control plot
PNT1100090,,
PNT1100097,,
PNT1100098,,Moved plot 28m E away from roads
PNT1100099,,
PNT1100100,m,"control plot, slash, some tree thinning"
PNT1100106,,Control Plot
PNT1100108,,
PNT1100137,,
PNT1100139,,"moved plot 5m W, plot center was unreachable"
PNT1100203,,
PNT1100205,,
PNT1100270,,
PNT1100272,,
PNT1100344,,
PNT1100350,,
PWR0900016,,"Thistle +, LACE +, ABCO dominant tree species in area."
PWR0900018,,"Thistle +, ABCO dominant tree species in area."
PWR0900023,,"Invasives: Cheatgrass -, LACE -"
PWR0900024,nf,Plot along bank of a stream.
PWR0900026,,Plot moved 10 m off road.
PWR0900027,,
PWR0900028,,Heavy pine needle load.
PWR0900029,,
PWR0900030,,"8 small, dead pines in plot, 3 dead oaks."
PWR0900033,,
PWR0900034,,
PWR0900037,m,"logged post fire, medium slash, 6 dead trees recorded in BA were all salvaged."
PWR0900039,,Outer area burn severity 4.
PWR0900040,m,Area logged & cleaned
PWR0900041,,"Thistle +, Sedges +"
PWR0900042,,"LACE -, area not logged, some fallen debris."
PWR0900043,,CECO dominant cover species.
PWR0900045,,"Cheatgrass -, Plot next to stream (east side), boulders, overgrown w/ CEIN."
PWR0900046,,
PWR0900047,,Cheatgrass -
PWR0900048,,
PWR0900049,,
PWR0900050,,
PWR0900051,,"fallen slash, area not logged, Ribes - gooseberry."
PWR0900052,,"Thistle, Cheatgrass, Ferns, Fireweed."
PWR0900053,,"Thistle -, LACE -, Cheatgrass -, Pinus growing through CECO."
PWR0900054,m,Area logged and cleaned
PWR0900055,,
PWR0900057,,"Cheatgrass +, some QUKE not regenerating."
PWR0900058,,"Cheatgrass +, Thistle"
PWR0900059,,Cheatgrass
PWR0900060,,"Cheatgrass ++, area not logged, lots of fallen trees, LOCR 10% cover (45 cm)."
PWR0900061,,"Cheatgrass +, no visible seed source for conifer or hardwood, concave slope, plot just above planted pines."
PWR0900063,,"Plot center in tall CECO, Thistle."
PWR0900064,,Before 7/8/2009 all slope measurements were taken in degrees not percent.
PWR0900066,,"Ferns, LOCR 1% cover (60cm)."
PWR0900067,m,"Steep terrain, lots of fallen trees/slash, area not logged but heavily impacted.  LOCR 1% (50cm)."
PWR0900068,,"Thistle, pine needles, LOCR 0.5%"
PWR0900069,,Steep terrain
PWR0900070,,"Cheatgrass +, LACE -"
PWR0900071,,"Cheatgrass +, Thistle"
PWR0900072,,"Moved plot 5 m off road, Cheatgrass +, area heavily logged and salvaged."
PWR0900073,,"Cheatgrass +, LOCR, Cattle present, many old dead pines and cedars."
PWR0900074,,"Fern, Cheatgrass -, large dead PILA, PIPO & PIJE"
PWR0900075,,No seed trees visible.
PWR0900077,,
PWR0900078,,
PWR0900079,,"Pine needles, LASE, Cheatgrass"
PWR0900080,,Plot moved 40 m out of stream.
PWR0900081,,
PWR0900086,,Cheatgrass +
PWR0900087,m,"Moved plot 5 m off of road, area planted, Cheatgrass ++, LACE -, area logged and cleared."
PWR0900088,,"Cheatgrass +, Thistle -"
PWR0900089,,"Thick CEIN & LOCR.  Old, dead pine and Cedar present."
PWR0900090,,Cheatgrass +
PWR0900091,,Cheatgrass +
PWR0900092,m,"Cheatgrass +, area logged, fallen trees."
PWR0900094,,Cheatgrass - cracks in rock.  Plot on a rock face.
PWR0900095,,Pine needles.  Lots of regen in surrounding area.
PWR0900097,,conifer seed source near but no seedlings.  Too xeric?
PWR0900098,,Cheatgrass
PWR0900099,,"Cheatgrass, no big trees in immediate area."
PWR0900100,,"Cheatgrass, Thistle & LACE"
PWR0900101,,
PWR0900102,m,"Plot on large rock face, area logged, QUVA outside of plot (old stand)."
PWR0900103,,"Cheatgrass, Thistle - & LACE-"
PWR0900114,,
PWR0900115,,"Thistle +, Cheatgrass +, LOCR dominant cover species"
PWR0900118,,"Invasives: Cheatgrass +, LOCR +, Thistle -.  Dead in plot: 11 softwoods, 1 hardwood"
PWR0900119,,"Invasives: LACE -, Cheatgrass - . Lower edge if plot on a cliff face"
PWR0900120,,
PWR0900121,,"Cheatgrass, LASE"
PWR0900122,,Cheatgrass
PWR0900123,,
PWR0900124,m,"Plot shifted 15 m west off of rock.  Cheatgrass +, logged area"
PWR0900125,,
PWR0900126,,
PWR0900127,,"Plot moved 10 m north, original point on a cliff."
PWR0900134,,"Thistle -, Cheatgrass -, LOCR dominant cover species."
PWR0900135,,
PWR0900136,,"Cheatgrass +, LOCR + (20%), Thistle +"
PWR0900139,,
PWR0900140,,
PWR0900141,,plot half on the road cut; thistle -; cheat grass -
PWR0900142,m,"Area logged, Slash present"
PWR0900143,,
PWR0900144,,Actual plot shifted because it was on shear rock.
PWR0900145,,
PWR0900146,,
PWR0900148,,"Plot next to creek.  Cheatgrass, Thistle & LASE."
PWR0900149,,Morning glory widespread 40%.  Area grazed.  Cheatgrass.
PWR0900150,,Plot next to road.
PWR0900151,,"steep terrain w/boulders, Ferns.  LOCR present 70 cm modal ht. 1% of cover in plot."
PWR0900152,,
PWR0900153,,
PWR0900159,,LACE -
PWR0900160,,"Thistle +, Cheatgrass +, not logged, many fallen trees."
PWR0900161,,"Cheatgrass +, LACE -, Thistle, LOCR dominant cover species."
PWR0900162,nf,"LOCR dominant cover species.  Salix near plot, plot near stream.  Cheatgrass +, Thistle -"
PWR0900163,,"Thistle +, Fern +, LACE -, LOCR dominant cover species, area near stream, not logged, heavy slash.  Old oak w/ no regeneration taking up 10% of plot."
PWR0900164,,"Cheatgrass +, area not logged, fallen trees."
PWR0900165,,"Invasoves: Cheatgrass.  Living forestr edge is 40 m away. Pre-existing forest - PIPO, CADE, QUCH, QUKE"
PWR0900169,,"Invasives: Thistle -, Cheatgrass -. Large burned log in plot"
PWR0900170,,"Slightly Convex. Dead trees in plot: 4 pines, 3 oaks"
PWR0900172,,"Small dry creek bed at plot center, diamond clarkia."
PWR0900173,,rock fare - hillside granite outcropping.
PWR0900180,,
PWR0900181,,"Cheatgrass, Thistle, LOCR dominant cover species."
PWR0900182,,"Thistle, Cheatgrass +, LOCR dominant cover species."
PWR0900183,,"Thistle +, Cheatgrass +, LOCR dominant cover species."
PWR0900184,,
PWR0900187,m,"Cheatgrass, area logged, plot next to road."
PWR0900188,,Ferns 10%
PWR0900189,,"Area not logged, living forest."
PWR0900190,,"only 10% groundkill, small trees under 4"" dbh. 2-5 foot fure scar on larger trees. 5 live trees: 3 CADE, 2 Oaks (v)"
PWR0900191,,Invasives: Cheatgrass -. Looks as though the plot did not burn.
PWR0900194,,
PWR0900195,,"Thistle +, Cheatgrass +, area not logged, fallen trees present."
PWR0900197,,"Cheatgrass +, Thistle -"
PWR0900198,m,"Plot moved 25 m off of logging skid.  Cheatgrass, LOCR"
PWR0900199,,"Invasives: thistle -, cheatgrass, lace -.  Bank of stream, broken with large rocks. Dead in plot: CADE (2), OAK (4), FIR (2)"
PWR0900202,,"Cheatgrass +, LOCR +, Thistle -"
PWR0900206,,
PWR0900207,,
PWR0900209,,"Plot on bank of road, next to stream."
PWR0900214,,"Thistle, Cheatgrass"
PWR0900215,,Moved plot location off of road cut.
PWR0900219,m,cheat grass present; area logged and low slash; LOCR present 5%
PWR0900220,m,Heavy slash; photo 1275 - the whole area. Oak sprouting. No seed source. LACE present
PWR0900222,,
PWR0900223,,
PWR0900224,,Invasives: Cheatgrass +.  Dead CADE & PIPO mid-size in area.
PWR0900225,,
PWR0900233,m,20% slash; cheat grass +; LOCR +
PWR0900236,,
PWR0900242,,thistle & LACE +; tall grass outcompeting seedlings
PWR0900244,,LACE invasive
PWR0900245,m,plot shifted 7 m due to heavy slash; ferns +; thistle +; directly adjacent to aquaduct
PWR0900247,,cheat grass +; thislte +
PWR0900248,,
PWR0900255,,mountain lupine
PWR0900256,,ferns +; heavy pine cone load
PWR0900258,,
PWR0900259,,Plot moved 25 m away from road.  Cheatgrass +
PWR0900260,,Stump hole in plot center.
PWR0900261,,
PWR0900262,,"Invasives: LOCR 5%. plot on stream bank. Grazing. 3 large oaks - I regenerating, 2 dead."
PWR0900263,m,Invasives: Cheatgrass +. Plot at the end of a logging skid. Heavily impacted. Slash & area logged
PWR0900266,,Invasives: Cheatgrass
PWR0900271,nf,"Invasives: LACE -, Cheatgrass -.  Plot on streambank."
PWR0900272,m,"Invasives: LACE +, Thistle.  Area logged & grazed, low slash"
PWR0900274,,very heavy mountain misery
PWR0900277,,
PWR0900281,,
PWR0900282,,
PWR0900283,,
PWR1300103,,BAF10
PWR1300104,,control  BAF 20
PWR1300112,,
PWR1300291,,BAF10
PWR1300292,,BAF 40
PWR1300308,,
PWR1300309,,BAF40
PWR1300546,,BAF40
PWR1300548,,ABMA x ABCO hybrid zone?
PWR1300569,,
PWR1300571,,BAF 5
PWR1300572,,
RAL1100011,,control plot
RAL1100012,,
RAL1100041,,Control Plot
RAL1100042,,Control Plot
RAL1100047,,
RAL1100049,,moved plot 20m away from road
RAL1100056,,
RAL1100057,m,Slash & chipping in plot
RAL1100058,m,"Moved 20m S to avoid roads,  Heavy slash and chipping,  Evidence of Grazing (cattle)"
RAL1100059,,
RAL1100060,,"Some nearby chipping, control plot"
RAL1100061,,"Near Grazing area, control plot.  *short cade sapling was knocked over."
RAL1100092,,
RAL1100093,,
RAL1100106,,Moved plot 20m NE off road
RAL1100127,m,"Grazed, planted pipos, saplings thinned"
RAL1100128,,Grazing
RAL1100143,,
RAL1100180,,
RAL1100254,,
RAL1100297,,
RAL1100298,,
RAL1100341,,1 yr CA nutmeg in plot
RAL1100342,,
RAL1100387,,
RAL1100388,,
RAL1100389,,a few sempervivens just out of plot
RAL1100390,,
RAL1100432,,
RAL1100433,,scorch marks on trees further out
RAL1100434,,
RAL1100435,,
RAL1100436,,
RAL1100469,,moved plot 5m N to avoid big hole
RAL1100470,,
RAL1100471,,
RAL1100472,,
RAL1100473,,
RAL1100474,,
RAL1100475,,
RAL1100476,,
RAL1100510,,
RAL1100511,,
RAL1100512,,surviving hardwoods -- surrounded by bad burn
RAL1100516,,
RAL1100517,,
RAL1100546,,
RAL1100547,,
RAL1100548,,
RAL1100549,,
RAL1100550,,
RAL1100551,,"between plot 551 and 550, fair amount of PIAT regen"
RAL1100584,,
RAL1100585,,
RAL1100586,,
RAL1100590,,Moved plot 15m NW to avoid cliff face
RAL1100626,,
RAL1100627,,
RAL1100962,,
RAL1100963,,
RAL1100992,,
RAL1100993,,
RAL1101005,m,Evidence of salvage logging
RAL1101006,,
RAL1101007,,
RAL1101033,,
RAL1101034,,near road and shooting range
RAL1101035,,
RAL1101036,m,Heavy slash under ceanothus
RAL1101037,m,Between Roads.  Planted Conifers
RAL1101048,,
RAL1101049,,
RAL1101050,,
RAL1101051,,Evidence of cattle grazing
RAL1101078,,Moved plot 10m S to avoid steep slope.  On edge of fire severity 5.
RAL1101079,,
RAL1101080,,
RAL1101091,,
RAL1101092,,
RAL1101124,m,under PG&E power lines -- at edge
RAL1101125,m,under powerlines
RAL1101134,m,"On an unused road, most forbs/shrubs are dead"
RAL1101135,,
RAL1101168,m,Evidence of logging
RAL1101169,m,Evidence of logging and grazing
RAL1101209,m,Close to logging.  Plot inbetween two roads.
RAL1101243,,
RAL1101244,,
RAL1101245,,
RAL1101246,,Evidence of cow grazing
RAL1101247,,Evidence of Grazing
RAL1101248,,Moved plot 20m off the road
RAL1101249,nf,"Stream nearby, garbage found at near center"
RAL1101270,,
RCH1100001,,
RCH1100004,,lots of woody debris
RCH1100009,,
RCH1100015,,
RCH1100022,,
RCH1100026,,
RCH1100039,,
RCH1100041,,
RCH1100042,m,"Evidence of slash pile and burn. Also, nearest regenerated tree could be ABCO, not ABMA"
RCH1100046,,"Directly west, fire severity 4, due North, fire severity 2. Some seedlings are older than the fire"
RCH1100053,,Plot was moved 8m at 60 degrees because original plot center was too close to road. New plot edge has a 5m buffer from the road
RCH1100058,,Basal area used 10 factor!!!!!!!!
RCH1100061,,
RCH1100063,m,"Evidence of logging in area, trees left in place. Most of woody debris looks like it was from cutting."
RCH1100065,,
RCH1100066,,
RCH1100070,,
RCH1100075,nf,Sapling DBH not recorded. Resprout QUKE count could be 11 and not 2. Plot is bisected by an old logging road that has revegetated.
RCH1100076,,
RCH1100080,,No Basal area recorded
RCH1100084,,
RCH1100086,,
RCH1100089,m,Pre-fire logging in area.
RCH1100090,,"There is a ? After ""shale"" on the data sheet."
RCH1100091,m,"No basal area recorded. Plot is near powerlines , evidence of heavy logging - impacts the snag count"
RCH1100095,,
RCH1100096,,
RCH1100100,,
RCH1100110,,
RCH1100111,,
RCH1100112,,
RCH1100114,,Pre-fire logging in area.
RCH1100115,,BAF 5 used!!
RCH1100117,,
RCH1100133,,BAF 10 used!
RCH1100140,,approximately 40% mortality of stand
RCH1100149,,
RCH1100150,,
RCH1100152,,
RCH1100159,m,baf 5 USED!! Salvage logging in stand
RCH1100163,,
RCH1100170,o,100 overstory mortality
RCH1100173,,
RCH1100175,,
RCH1100187,m,Moved plot 30 m to the SW to get off the road. Most of regen is planted
RCH1100191,,
RCH1100197,,
RCH1100198,,
RCH1100209,,
RCH1100210,m,Site has pre-fire logging and post-fire planting.
RCH1100219,,
RCH1100224,m,"directly west of plot fire severity 3. 200+ year old PIPO cut down, stump and part of tree inside plot"
RCH1100234,m,Post-fire salvage logging and replanting. Lots of woody debris from logging.
RCH1100235,,
RCH1100243,,"Northing seems to be missing a digit.* ""Tons of natural regen - too much to count."" Seedlings were counted in 1/4 of regen plot, then multiplied by 4."
RCH1100248,,
RCH1100250,,
RCH1100259,,
RCH1100261,,
RCH1100264,,
RCH1100271,,"To north and south, lower intensity (3)"
RCH1100280,,"BAF 10 used!! Undestory mostly killed off, though a few seedlings survived"
RCH1100326,,Plot full of boulders
RCH1100350,,
RCH1100352,,
RCH1100355,,
RCH1100379,,
RCH1100401,,
RCH1100403,,
RCH1100406,,
RCH1100408,,Point moved ~20m SE because of rock talus covering entire area of original plot.
RCH1100428,,
RCH1100430,,
RCH1100432,nf,Plot straddles ridge line running roughly N-S.
RCH1100452,,"Burn layer (BA7) shows plot as unburned - plot is burned, low severity. Many dead trees with needles still on branches. Possibly burned after 2008?"
RCH1100458,,
RCH1100460,,
RCH1100463,,
RCH1100477,,
RCH1100479,,
RCH1100484,,
RCH1100503,,Quercus durata only woody veg recorded for this plot.
RCH1100519,,Quercus durata treated as a tree in this field plot.  Not entered in tree fields for database. Number of snags AND % hardwood cover probably includes Q. durata.
RCH1100633,,
RCH1100667,,
RCH1100668,,moved plot 5 m west to avoid course wood debris that have covered entire plot
RCH1100698,,plot moved 50m at 210 degrees to avoid dangerous slope. Fire intensity 4 because of 75% mortality.
RCH1100703,,100% overstory mortality
RCH1100727,,
RCH1100732,,Plot is very steep and rocky.
RCH1100733,nf,BAF 10 used! Plot falls on edge of a meadow-opening. There is a giant falled PIJE tree in plot
RCH1100737,,
RCH1100738,,QUCH resprouts not counted
RCH1100739,,
RCH1100767,,Rocky ravine taking up most of plot
RCH1100768,,
RCH1100772,,
RCH1100774,,
RCH1100789,,
RCH1100799,,
RCH1100803,,Evidence of past fire (more than 20 years ago?) Next to an old logging road
RCH1100819,,
RCH1100825,,
RCH1100839,,moved plot 50m at 340 degrees to capture fire intensity 3
RCH1100841,,
RCH1100843,,
RCH1100848,,
RCH1100850,,"One shrub is listed as ""CEANEV"" who modal height is 10 and % cover =T. Unclear as to Ceanothus sp, or Arctostaphylos nevadensis. Not included here."
RCH1100852,,No sapling DBH recorded.
RCH1100860,,Evidence of very low intensity fire. Did not kill seedlings. Plot has significant dead down woody material
RCH1100861,,moved plot 80m at 100 degrees to capture fire intensity 3
RCH1100871,,
RCH1100877,,
RCH1100879,,"Several CADE less than breast height, not recorded as snags because they are too short. Consider counting them next year?"
RCH1100881,,
RCH1100886,,
RCH1100888,m,Logging and human disturbance - not all logs removed. Evidence of burning
RCH1100893,,signs of a very low intensity burn. Did not kill seedlings.
RCH1100895,,"evidence of past fire, maybe more than 50 years ago. Course woody debris show scorch marks. Lots saplings"
RCH1100897,,
RCH1100901,,
RUS1100029,,
RUS1100030,,
RUS1100031,,Possible Phellinus weirii root disease center.  Large trees in area hit hard by root disease and an Arceuthobium species.
RUS1100032,,ABMA infested with mistletoe (Arceuthobium sp.) in and around plot.  Lots of foliar damage and branch die-off but no mortality due to mistletoe.
RUS1100033,,"ABMA infested with mistletoe (Arceuthobium sp.) in and around plot.  Lots of foliar damage and dead branches, but no mortality due to mistletoe."
RUS1100034,m,Moved plot ~10m east to avoid trail.  Lots of cut trees and brush in area.
RUS1100051,,
RUS1100078,,Nearby snags show Armillaria sp. fruiting bodies.
RUS1100079,,
RUS1100080,,"Plot is on edge between severity 2 and severity 5.  Surrounding forest mostly mixed fir, white and red."
RUS1100097,,Possible Phellinus weirii root disease center.
RUS1100098,,
RUS1100099,,
RUS1100100,,
RUS1100112,,Ribes sp. has no reproductive structures and is unidentifiable.
RUS1100113,,
RUS1100115,,"Plot is a field of Phacelia sp., visited by lots of Bombus sp."
RUS1100116,,
RUS1100131,,Plot moved ~20m west to avoid hornets' nest we disturbed while walking to plot.
RUS1100132,,
RUS1100133,,
RUS1100134,,
RUS1100135,,
RUS1100136,,
RUS1100138,,
RUS1100143,,
RUS1100146,,Southeast corner of plot is a tip-up mound of dead Calocedrus decurrens.
RUS1100149,,
RUS1100150,,
RUS1100151,,
RUS1100165,,"Plot on loose, rocky slope. QUCH infested with mistletoe (Phoradendron sp.)."
RUS1100166,,
RUS1100167,,
RUS1100168,,
RUS1100169,,
RUS1100170,,
RUS1100171,,
RUS1100172,,
RUS1100178,,
RUS1100179,,
RUS1100180,,"Due to topography and high burn severity, there are no real seed sources of any kind for this hillside."
RUS1100181,,
RUS1100182,,
RUS1100204,,"Many trees killed by fire, but some possibly weakened by fire and killed by beetles."
RUS1100205,,"Perennial grasses and sedges coming in very robustly all across this hillside, lots of Pteridium aquilinum too (this was most of the forb cover of the plot).  Some trees possibly killed by beetles post-fire.  No sign of any regen ~ 25m from the plot."
RUS1100206,,"10% cover of large Astragalus sp. (shrubby in shape and size, but is a forb).  Seedlings are stunted and have a strange, unhealthy growth form (insect damage?)."
RUS1100207,,White powdery spots on PSME seedlings (possibly frass) - very stunted and growing weirdly.
RUS1100250,,
RUS1100279,,
RUS1100280,,
RUS1100281,,
RUS1100311,,"Not a hardwood in sight.  Many large healthy PIJE seedlings around, just not in plot."
RUS1100352,,
RUS1100353,,
RUS1100373,,Biotic soil crust covers ~15% of ground (included in bare ground % cover).
RUS1100392,,"Very sandy soil with some biotic soil crust (lichen and moss components visible).  ""PIJE"" is 3-needle pine - PIAT present with open cones near sites."
RUS1100393,,
RUS1100394,,
RUS1100516,,
RUS1100517,,
RUS1100534,,Point moved ~10m north to avoid trail and private property.
SHR0900001,,
SHR0900002,,
SHR0900003,,
SHR0900004,,
SHR0900005,,in nw facing draw. Moved plot from set point (on cliff).
SHR0900006,,
SHR0900007,,
SHR0900008,,
SHR0900009,,5 dead trees in plot.  Wet area.
SHR0900010,,east of rock face 200 ft
SHR0900011,,
SHR0900012,,
SHR0900013,,regen counted on only half plot . base of cliff area. tallest abies is abco others 0 yr.
SHR0900014,,
SHR0900015,,between 2 big live PIJE
SHR0900016,,
SHR0900017,,first plot. In draw west of ridge
SIM1000001,,
SIM1000002,,invasive thistle
SIM1000003,,
SIM1000005,,plot in drainage.
SIM1000006,,invasive thistle
SIM1000007,,"invasives - morning glory, thistle. Ferns"
SIM1000008,,No hardwood seed source visible
SIM1000009,,"2 BA dead but no size class described; Site was covered in rubble, perhaps from rock slide or human created. Did not get age or last year's growth for QUCH's b/c we don’t' know how to age them but they were growing out of old dead stumps."
SIM1000011,,"Lots of slash, no logging"
SIM1000012,,no hardwood seed source visible. Only 2 out of 5 BA dead recorded in size classes.
SIM1000013,,no visible seed sources. No regen in plot
SIM1000014,,"no visible hardwood seed source; invasives - thistle, morning glory"
SIM1000015,,Invasive Morning Glory
SIM1000016,nf,"in a rock scree, whole side of hill is scree"
SIM1000017,,BA dead count and size classes not the same number of snags.
SIM1000018,,
SIM1000019,,
SIM1000021,,
SIM1000022,,discrepency between BA dead count and size classes; no seed sources available
SIM1000023,,no seed sources visible;
SIM1000024,,"no visible seed source; invasives- morning glory, LACE, thistle"
SIM1000025,,no slope recorded; no visible seed source
SIM1000026,,BA dead count and size class not the same number; We did the plot 20m shg of the point. The point would have been located on top of a 30 ft high + 50ft across rock + impassible TODI
SIM1000027,,Plot on edge of fire. BA dead count not the same as count in snag size class
SIM1000028,,No conifer regen within 50 ft
SIM1000029,o,
SIM1000030,,no  hardwood seed source; BA dead count not same as number in size classes.
